1-2タームのものは7ターム、3-4タームのものは8タームと表記する。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Numbering Code,Class Code,授業名,曜日,時限,ターム,単位数,授業場所,必修か必修でないか(〇=両コース必修 △=情報工学コース必修 ▲=データサイエンスコース必修 ◇=選択)
RC101,R011110101,プログラミング入門,金,4,7,2,工1-501,〇
RC102,R011110201,プログラムの設計と実現Ⅰ,火,5,8,2,工1-501,〇
RC103,R011110301,プログラムの設計と実現Ⅱ,月,5,7,2,工1-501,〇
RC104,R011110401,プログラムの設計と実現Ⅲ,月,5,8,2,情401,◇
RC105,R011110501,プログラム演習Ⅰ,火,4,8,1,工1-501,〇
RC106,R011110601,プログラム演習Ⅱ(1),火,3,7,1,工1-501,〇
RC106,R011110602,プログラム演習Ⅱ(2),火,5,7,1,工1-501,〇
RC107,R011110701,マルチメディア工学入門,金,4,7,2,情301,◇
RC108,R011110801,情報・データサイエンス入門Ⅰ,火,4,7,2,情401,〇
RC109,R011110901,情報・データサイエンス入門Ⅱ,水,1,8,2,情イノベーションシアター,〇
RD201,R011210101,確率論,水,1,7,2,工15-110,〇
RD202,R011210201,確率論演習,木,2,7,1,工1-501:情報401,〇
RD203,R011210301,統計学,火,2,8,2,工15-110,〇
RD207,R011210501,数値計算,月,4,7,1,工1-501,◇
RD208,R011210601,多変量解析,金,4,7,2,工2-103,◇
RG205,R011210701,機械学習Ⅰ,火,4,7,2,情301,▲
RG206,R011210801,機械学習演習,水,1,7,1,情401,◇
RI203,R011310101,アナログ信号処理,月,,2,2,工1-501:情報301,〇
RI208,R011310201,コンピュータシステム入門,木,1,8,2,工2-103,◇
RI202,R011310301,集合・代数・論理,水,2,7,2,情301,◇
RI204,R011310401,離散数学,火,3,8,2,工15-110,〇
RI201,R011310501,フーリエ解析,月,3,7,2,工2-202,〇
RI205,R011310601,情報工学実験IA,金,,8,1,情303,〇
RU206,R011310701,情報工学実験IB,金,,8,1,工1-501,〇
Ri207,R011310801,情報工学実験IC,金,,8,1,高度デジタル創造センター2階レーザーアトリエ,〇
RI209,R011310901,情報工学実験Ⅱ,水,,7,2,工総研2-203,△
RI210,R011311001,情報理論,月,3,7,2,情301,◇
RI211,R011311101,コンピュータネットワーク,木,4,7,2,工17-213,◇
RC202,R012110101,情報・データサイエンス基礎英語,集,,8,2,メディア,◇
RC201,R012110201,情報倫理,月,4,7,2,情301,〇
RC203,R012110301,情報知的所有権セミナー,木,,7,2,工17-212,◇
RC205,R012110401,情報と職業,水,4,8,2,工2-202,◇
RC204,R012110501,ソーシャルイノベーション,金,5,7,2,情イノベーションシアター,◇
RC206,R012110601,インターンシップ,集,,,2,,◇
RD302,R012210101,医療統計学・疫学,月,4,7,2,情402,◇
RD301,R012210201,医療データサイエンス入門,金,2,7,2,情イノベーションシアター,◇
RD303,R012210301,データサイエンス看護学概論,月,5,7,2,情302,◇
RD305,R012210401,データサイエンス看護学演習,金,,4,2,情302,◇
RD304,R012210501,医用データ解析,月,1,7,2,情報戦略機構2階 電算実習室2,◇
RD307,R012220101,IoTと環境センシング,木,3,7,2,工2-103,◇
RD310,R012220201,リモートセンシング工学,水,3,8,2,工2-202,◇
RD308,R012220301,データ同化,火,3,7,2,工5-104,◇
RD306,R012220401,環境空間情報学,月,,1,2,メディア,◇
RD309,R012220501,農村地理情報学,金,,2,2,メディア,◇
RD311,R012230101,カラーサイエンス,金,4,7,2,情401,◇
RD312,R012230201,ディジタル画像処理,金,3,7,2,情401,◇
RD313,R012230301,視覚情報処理,月,5,8,2,情401,◇
RD314,R012230401,ヒューマンインタフェース,木,5,7,2,工2-201,◇
RD315,R012230501,コンピュータグラフィックス,水,2,7,2,工1-501,◇
RD317,R012230601,生体情報工学,金,2,8,2,情302,◇
RD316,R012230701,感覚・知覚測定法,金,3,7,2,情302,◇
RD318,R012230801,デザイン・シンキング,火,4,8,2,情402,◇
RD319,R012240101,データサイエンス系プロジェクト研究,,,,2,各研究室,〇
RI306,R012310101,符号理論,火,5,8,2,工2-103,◇
RI301,R012310201,オートマトン,火,2,7,2,工2-202,◇
RI302,R012310301,オペレーティングシステム,水,4,8,2,工2-103,◇
RI303,R012310401,コンピュータアーキテクチャ,火,,1,2,工1-501,◇
RI307,R012310501,時系列信号処理,火,2,8,2,工1-501,◇
RI308,R012310601,インタプリタとコンパイラ,水,3,8,2,情402,◇
RI309,R012310701,分散情報処理,水,1,8,2,情402,◇
RI304,R012310801,情報システム概論,月,5,7,2,メディア◇
RI310,R012310901,メディアセキュリティ,月,2,8,2,情302,◇
RI305,R012311001,最適化理論,火,,2,2,工1-501:情402,◇
RI311,R012311101,確率過程とマルコフ解析,金,5,8,2,情401,◇
RI312,R012311201,情報工学系プロジェクト研究,,,,2,各研究室,〇
